category,headline,summary,link
Culture,'It just shattered' - Nemo explains broken Eurovision trophy,"Returning from the contest, Swiss singer Nemo was greeted by hundreds of fans at Zurich Airport.",/news/entertainment-arts-69002336
Culture,Dissident filmmaker flees Iran after jail sentence,"Mohammad Rasoulof was sentenced over his new film, which is to be premiered at the Cannes festival.",/news/world-middle-east-69006043
Culture,'It just shattered' - Nemo explains broken Eurovision trophy,"Returning from the contest, Swiss singer Nemo was greeted by hundreds of fans at Zurich Airport.",/news/entertainment-arts-69002336
Culture,Dissident filmmaker flees Iran after jail sentence,"Mohammad Rasoulof was sentenced over his new film, which is to be premiered at the Cannes festival.",/news/world-middle-east-69006043
Culture,Top Boy and Happy Valley triumph at TV Baftas,The final seasons of Top Boy and Happy Valley were among the big winners at the Bafta TV Awards.,/news/articles/c0w06379x2wo
Culture,'Boil in a bag' and five other Bafta TV moments,Celebrities were sweltering as the awards ceremony took place on the hottest day of the year so far.,/news/entertainment-arts-68987541
Culture,On the brink of nuclear war: Castro interview,"In 1961, the Cuban revolutionary leader Fidel Castro told the BBC about land reform, and how he wanted peace. But it was the start of a spiralling situation between the US and Cuba.",/culture/article/20240510-in-history-fidel-castro-on-the-brink-of-nuclear-war
Culture,Top Boy and Happy Valley triumph at TV Baftas,The final seasons of Top Boy and Happy Valley were among the big winners at the Bafta TV Awards.,/news/articles/c0w06379x2wo
Culture,'Boil in a bag' and five other Bafta TV moments,Celebrities were sweltering as the awards ceremony took place on the hottest day of the year so far.,/news/entertainment-arts-68987541
Culture,Watch: Joe Lycett dressed as Queen Elizabeth I,"Other celebrities wore loose fitting outfits, as they tried to keep cool with the sun beating down.",/news/entertainment-arts-69000892
Culture,Best of Baftas 2024 TV Awards... in 86 seconds,Our recap of this year's 2024 Bafta TV Awards.,/news/entertainment-arts-69000915
Culture,Cult movie director Roger Corman dies aged 98,"Jack Nicholson, Charles Bronson and Robert De Niro were some of the actors whose careers he helped develop.",/news/entertainment-arts-17127556
Culture,Chaotic build-up to Eurovision as thousands protest,Performers withdraw from rehearsals and a contestant is disqualified amid pro-Palestinian marches.,/news/entertainment-arts-68996532
Culture,Dutch contestant disqualified from Eurovision,"The singer, Joost Klein, had been among the favourites to win the contest in Malmö, Sweden.",/news/entertainment-arts-68993726
Culture,Co-op Live arena says opening can finally go ahead,Bosses say Elbow will open the troubled venue on Tuesday after a string of problems and delays.,/news/entertainment-arts-68989562
Culture,The legendary soprano making a difference,Dame Kiri Te Kanawa has enjoyed one of the longest careers in operatic history.,/culture/rolex?id=p0hg5g04
Culture,Callas at 100: 'This is the stuff legends are made of',Zeinab Badawi heads to Athens to celebrate the centenary of the birth of opera soprano Maria Callas.,/culture/rolex?id=p0gy1ww6
Culture,Behind the scenes at La Scala in Milan,Zeinab Badawi takes us behind the scenes at La Scala in Milan to find out how magic is made.,/culture/rolex?id=p0cpxd4v
Culture,The journey to become an opera singer,"We travel to La Scala in Milan, Italy the iconic stage where every opera singer dreams of performing.",/culture/rolex?id=p0cfk8n7
Culture,The sustainable power of Glyndebourne,Zeinab Badawi goes behind-the-scenes to see how sustainable opera can be.,/culture/rolex?id=p0g36tw9
Culture,Antonio Pappano: 'Opera is an art form',Sir Antonio Pappano explains why opera is an art form.,/culture/rolex?id=p0g1hf0p
Culture,Zeinab Badawi meets German tenor Jonas Kaufmann,"Opera lover Zeinab Badawi visits the Bavarian State Opera in Munich to meet the German tenor, Jonas Kaufmann.",/culture/rolex?id=p0csk552
Culture,Gustavo Dudamel: 'Music has the power to change the world',Opera lover Zeinab Badawi travels to Paris to meet the acclaimed conductor and music director Gustavo Dudamel.,/culture/rolex?id=p0dmvd1q
Culture,'Singing is the air that we breathe',Bass-baritone Sir Bryn Terfel is one of the most distinguished opera singers of our age.,/culture/rolex?id=p0fpt67x
Culture,Dalí talks about his iconic 'aggressive' moustache,In an exclusive BBC archive interview the Surrealist artist shared the secret behind the most famous moustache in the world.,/culture/article/20240503-salvador-dal-talks-about-his-iconic-very-aggressive-moustache
Culture,The 1970 student protests that shook the US,"Fifty-four years ago, four students were shot by the National Guard during an anti-Vietnam War protest at Kent State university in Ohio – a tragedy that still resonates today.",/culture/article/20240503-kent-state-university-1970-protests-that-shook-the-us
