category,headline,summary,link
Business,"<span class=""container__headline-text"" data-editable=""headline"">GameStop shares are skyrocketing after meme stock trader posts for first time in 3 years</span>","('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">Mortgage companies could intensify the next recession, US officials warn</span>","('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">Shein promised to tackle overwork. A new report claims 75-hour weeks are still common</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">OpenAI unveils newest AI model, GPT-4o</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">Massachusetts takes Uber and Lyft to trial over status of gig workers</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">Apple Store workers in Maryland vote to authorize strike</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">Cyberattack forces major US health care network to divert ambulances from hospitals</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">Chinese tech exec’s fiery endorsement of toxic workplace culture sparks backlash — and costs her job</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">Apple apologizes for its controversial iPad Pro ad</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">This ALS patient has a brain implant that translates his thoughts to computer commands</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
Business,"<span class=""container__headline-text"" data-editable=""headline"">Investigation into child exploitation on Meta platforms leads to arrests of three men</span>","('span', {'class': 'container__headline-text'})",
Business,,"('span', {'class': 'container__headline-text'})",
