category,headline,summary,link
Business,Play-by-Play and Drawings on an iPad: How Cable TV Covers a TV-Less Trial,"With no cameras recording Donald Trump’s criminal trial, anchors and producers are improvising to animate dramatic moments like Michael Cohen’s testimony.",https://www.nytimes.com/2024/05/13/business/media/trump-trial-media-tv-coverage.html
Business,GameStop Shares Surge After ‘Roaring Kitty’ Re-emerges,"Keith Gill, the trader who helped turn the video game retailer into a high-flying “meme stock,” posted cryptic messages online after a three-year hiatus.",https://www.nytimes.com/2024/05/13/business/gamestop-stock-roaring-kitty.html
Business,Melinda French Gates to Resign From Gates Foundation,"The Bill and Melinda Gates Foundation is recognized as one of the most powerful organizations in global philanthropy, in fields like public health and early-childhood education.",https://www.nytimes.com/2024/05/13/business/melinda-gates-resigns-gates-foundation.html
Business,The Battle for The Streets of New York,"Now more than ever, the city is being forced to rethink how its thoroughfares are used.",https://www.nytimes.com/interactive/2024/05/13/nyregion/nyc-traffic-congestion-pricing-parking.html
Business,Do You Have a Question About Money? Ask Us.,Feel free to ask us anything — big or small.,https://www.nytimes.com/2024/05/13/business/money-questions.html
Business,An Inflation Test Looms Over the Economy and the Election,The pivotal Consumer Price Index report is set to be published on Wednesday as the window for interest-rate cuts before November is closing.,https://www.nytimes.com/2024/05/13/business/dealbook/cpi-inflation-fed-interest-rates.html
Business,"Solar Storm Crashes GPS Systems Used by Some Farmers, Stalling Planting","The storm interfered with navigational systems used in tractors and other farming equipment, leaving some farmers temporarily unable to plant their crops.",https://www.nytimes.com/2024/05/13/us/solar-storm-tractor-break-nebraska.html
Business,China Is Raising Bullet Train Fares as Debts and Costs Balloon,The politically fraught move comes as part of a broader push in China to stem losses at subsidized public services.,https://www.nytimes.com/2024/05/13/business/china-bullet-trains-ticket-prices.html
Business,"Hobbled by Cyberattack, Christie’s Says Marquee Sales Will Proceed","The auction house failed to regain control of its official website on Sunday but said that its spring auctions would go on, in person and by phone.",https://www.nytimes.com/2024/05/12/arts/design/christies-cyberattack.html
Business,Fast Food Forever: How McHaters Lost the Culture War,"“Super Size Me” helped lead a backlash against McDonald’s. Twenty years on, the industry is bigger than ever.",https://www.nytimes.com/2024/05/12/dining/super-size-me-mcdonalds-fast-food.html
Business,Play-by-Play and Drawings on an iPad: How Cable TV Covers a TV-Less Trial,"With no cameras recording Donald Trump’s criminal trial, anchors and producers are improvising to animate dramatic moments like Michael Cohen’s testimony.",https://www.nytimes.com/2024/05/13/business/media/trump-trial-media-tv-coverage.html
Business,GameStop Shares Surge After ‘Roaring Kitty’ Re-emerges,"Keith Gill, the trader who helped turn the video game retailer into a high-flying “meme stock,” posted cryptic messages online after a three-year hiatus.",https://www.nytimes.com/2024/05/13/business/gamestop-stock-roaring-kitty.html
Business,Melinda French Gates to Resign From Gates Foundation,"The Bill and Melinda Gates Foundation is recognized as one of the most powerful organizations in global philanthropy, in fields like public health and early-childhood education.",https://www.nytimes.com/2024/05/13/business/melinda-gates-resigns-gates-foundation.html
Business,The Battle for The Streets of New York,"Now more than ever, the city is being forced to rethink how its thoroughfares are used.",https://www.nytimes.com/interactive/2024/05/13/nyregion/nyc-traffic-congestion-pricing-parking.html
Business,Do You Have a Question About Money? Ask Us.,Feel free to ask us anything — big or small.,https://www.nytimes.com/2024/05/13/business/money-questions.html
Business,An Inflation Test Looms Over the Economy and the Election,The pivotal Consumer Price Index report is set to be published on Wednesday as the window for interest-rate cuts before November is closing.,https://www.nytimes.com/2024/05/13/business/dealbook/cpi-inflation-fed-interest-rates.html
Business,"Solar Storm Crashes GPS Systems Used by Some Farmers, Stalling Planting","The storm interfered with navigational systems used in tractors and other farming equipment, leaving some farmers temporarily unable to plant their crops.",https://www.nytimes.com/2024/05/13/us/solar-storm-tractor-break-nebraska.html
Business,China Is Raising Bullet Train Fares as Debts and Costs Balloon,The politically fraught move comes as part of a broader push in China to stem losses at subsidized public services.,https://www.nytimes.com/2024/05/13/business/china-bullet-trains-ticket-prices.html
Business,"Hobbled by Cyberattack, Christie’s Says Marquee Sales Will Proceed","The auction house failed to regain control of its official website on Sunday but said that its spring auctions would go on, in person and by phone.",https://www.nytimes.com/2024/05/12/arts/design/christies-cyberattack.html
Business,Fast Food Forever: How McHaters Lost the Culture War,"“Super Size Me” helped lead a backlash against McDonald’s. Twenty years on, the industry is bigger than ever.",https://www.nytimes.com/2024/05/12/dining/super-size-me-mcdonalds-fast-food.html
Business,"At the Home of BTS, Turmoil Over a Rising K-Pop Star",The firm Hybe has lost hundreds of millions of dollars in market value because of a feud with the creative force behind the band NewJeans.,https://www.nytimes.com/2024/05/12/world/asia/newjeans-kpop-controversy-hybe.html
Business,Northern Lights Set to Return During Extreme Solar Storm’s 2nd Night,Electrical utilities said they weathered earlier conditions as persistent geomagnetic storms were expected to cause another light show in evening skies.,https://www.nytimes.com/2024/05/11/science/northern-lights-aurora-solar-storm.html
Business,"Mary Wells Lawrence, High-Profile Advertising Pioneer, Dies at 95","She was the first woman to own and run a major national advertising agency. Her company, Wells Rich Greene, was best known for the “I ♥ NY” campaign.",https://www.nytimes.com/2024/05/11/business/mary-wells-lawrence-dead.html
Business,"Trump May Owe $100 Million From Double-Dip Tax Breaks, Audit Shows",A previously unknown focus of an I.R.S. audit is a dubious accounting maneuver that effectively meant taking the same write-offs twice on a Chicago skyscraper.,https://www.nytimes.com/2024/05/11/us/trump-taxes-audit-chicago.html
Business,All the Rage in Private Equity: Mortgaging the Fund,A little-known financial tool was the talk of the Milken Institute’s Global Conference.,https://www.nytimes.com/2024/05/11/business/dealbook/all-the-rage-in-private-equity-mortgaging-the-fund.html
Business,"Farewell, Chuck E. Cheese Animatronic Band","A mainstay of the pizza and arcade chain, by turns endearing and creepy, will be phased out by year’s end at all but two locations. We visited one of them.",https://www.nytimes.com/2024/05/11/business/chuck-e-cheese-animatronic-band.html
Business,"The Annoying, Go-Getting Colleague: Beat Her or Emulate Her?","When corporate jousting, don’t choose jealousy.",https://www.nytimes.com/2024/05/11/business/roxane-gay-work-office.html
Business,Judge Blocks New U.S. Rule Limiting Credit Card Late Fees,"Set to take effect on Tuesday, the rule would save households $10 billion a year in “junk fees,” the Consumer Financial Protection Bureau said.",https://www.nytimes.com/2024/05/10/business/credit-card-fee-limit-blocked.html
Business,"Ilon Specht, Who Empowered Women With ‘I’m Worth It’ Ad, Dies at 81","She came up with the feminist campaign, for a hair color product, when challenging the notions of men at her ad agency.",https://www.nytimes.com/2024/05/10/business/media/ilon-specht-dead.html
Business,Is It Better to Rent or Buy? A Financial Calculator,Our calculator takes the most important costs associated with buying or renting and compares the two options.,https://www.nytimes.com/interactive/2024/upshot/buy-rent-calculator.html
Business,Play-by-Play and Drawings on an iPad: How Cable TV Covers a TV-Less Trial,"With no cameras recording Donald Trump’s criminal trial, anchors and producers are improvising to animate dramatic moments like Michael Cohen’s testimony.",https://www.nytimes.com/2024/05/13/business/media/trump-trial-media-tv-coverage.html
Business,GameStop Shares Surge After ‘Roaring Kitty’ Re-emerges,"Keith Gill, the trader who helped turn the video game retailer into a high-flying “meme stock,” posted cryptic messages online after a three-year hiatus.",https://www.nytimes.com/2024/05/13/business/gamestop-stock-roaring-kitty.html
Business,Melinda French Gates to Resign From Gates Foundation,"The Bill and Melinda Gates Foundation is recognized as one of the most powerful organizations in global philanthropy, in fields like public health and early-childhood education.",https://www.nytimes.com/2024/05/13/business/melinda-gates-resigns-gates-foundation.html
Business,The Battle for The Streets of New York,"Now more than ever, the city is being forced to rethink how its thoroughfares are used.",https://www.nytimes.com/interactive/2024/05/13/nyregion/nyc-traffic-congestion-pricing-parking.html
Business,Do You Have a Question About Money? Ask Us.,Feel free to ask us anything — big or small.,https://www.nytimes.com/2024/05/13/business/money-questions.html
Business,An Inflation Test Looms Over the Economy and the Election,The pivotal Consumer Price Index report is set to be published on Wednesday as the window for interest-rate cuts before November is closing.,https://www.nytimes.com/2024/05/13/business/dealbook/cpi-inflation-fed-interest-rates.html
Business,"Solar Storm Crashes GPS Systems Used by Some Farmers, Stalling Planting","The storm interfered with navigational systems used in tractors and other farming equipment, leaving some farmers temporarily unable to plant their crops.",https://www.nytimes.com/2024/05/13/us/solar-storm-tractor-break-nebraska.html
Business,China Is Raising Bullet Train Fares as Debts and Costs Balloon,The politically fraught move comes as part of a broader push in China to stem losses at subsidized public services.,https://www.nytimes.com/2024/05/13/business/china-bullet-trains-ticket-prices.html
